transaction_id,customer_id,product_id,store_id,cantidad,importe,fecha
TX00001,C0790,P003,T04,2,145.97,2024-05-01
TX00002,C0603,P004,T04,3,360.87,2023-02-11
TX00003,C0099,P022,T03,1,340.28,2023-07-21
TX00004,C0845,P015,T02,1,302.61,2024-10-19
TX00005,C0544,P018,T04,1,53.93,2025-06-23
TX00006,C0839,P014,T04,2,308.61,2025-02-04
TX00007,C0586,P004,T05,2,44.93,2025-11-03
TX00008,C0567,P026,T02,2,219.23,2023-03-01
TX00009,C0100,P012,T05,2,96.28,2023-04-29
TX00010,C0160,P016,T01,1,368.85,2024-02-12
TX00011,C0966,P018,T03,2,211.95,2023-09-11
TX00012,C0232,P044,T01,1,205.74,2025-07-02
TX00013,C0972,P012,T04,1,152.91,2023-12-01
TX00014,C0544,P017,T01,1,166.89,2023-11-30
TX00015,C0131,P037,T02,2,266.0,2024-02-28
TX00016,C0096,P018,T04,1,348.56,2023-01-19
TX00017,C0211,P031,T02,1,248.43,2023-01-18
TX00018,C0925,P015,T03,1,378.34,2024-07-17
TX00019,C0418,P028,T04,2,194.42,2024-03-22
TX00020,C0404,P030,T03,1,333.24,2025-03-24
TX00021,C0322,P038,T01,1,399.78,2025-02-05
TX00022,C0138,P036,T05,1,133.42,2023-08-10
TX00023,C0495,P031,T01,1,125.06,2024-10-27
TX00024,C0126,P018,T03,1,381.83,2024-09-03
TX00025,C0836,P013,T02,1,111.31,2023-04-27
TX00026,C0385,P039,T04,1,278.69,2023-02-22
TX00027,C0389,P042,T04,3,118.58,2025-05-07
TX00028,C0483,P026,T04,2,241.55,2024-01-24
TX00029,C0452,P022,T02,1,262.56,2025-09-01
TX00030,C0995,P043,T03,1,341.26,2024-01-06
TX00031,C0561,P019,T01,1,301.55,2024-01-10
TX00032,C0082,P044,T03,1,104.46,2024-04-02
TX00033,C0618,P048,T03,1,357.0,2025-01-31
TX00034,C0143,P017,T05,1,343.46,2025-08-21
TX00035,C0037,P004,T05,1,255.85,2025-08-25
TX00036,C0965,P013,T05,1,278.67,2025-12-21
TX00037,C0774,P020,T04,1,344.61,2023-10-09
TX00038,C0975,P013,T03,1,236.37,2025-07-26
TX00039,C0487,P010,T05,2,88.54,2023-06-15
TX00040,C0545,P032,T03,1,87.19,2023-04-29
TX00041,C0163,P001,T04,1,309.25,2023-12-12
TX00042,C0247,P037,T02,1,310.16,2023-06-30
TX00043,C0836,P009,T05,1,183.18,2025-05-28
TX00044,C0372,P031,T04,1,222.84,2025-02-03
TX00045,C0826,P001,T03,2,221.79,2023-02-06
TX00046,C0721,P044,T01,1,114.55,2024-12-06
TX00047,C0172,P020,T02,1,211.27,2024-09-18
TX00048,C0514,P011,T01,2,133.32,2024-08-18
TX00049,C0685,P030,T05,1,148.38,2023-10-02
TX00050,C0236,P022,T05,1,91.6,2025-04-06
TX00051,C0832,P002,T02,1,394.25,2024-03-08
TX00052,C0561,P047,T01,1,84.21,2025-01-20
TX00053,C0159,P046,T01,1,263.32,2025-12-31
TX00054,C0587,P040,T01,1,38.22,2023-08-10
TX00055,C1000,P042,T01,1,64.0,2025-06-28
TX00056,C0143,P025,T01,1,200.27,2023-11-10
TX00057,C0812,P014,T01,1,271.43,2025-12-01
TX00058,C0210,P018,T05,1,72.12,2023-08-03
TX00059,C0783,P033,T05,1,63.32,2023-08-06
TX00060,C0737,P032,T02,1,315.62,2025-12-07
TX00061,C0303,P013,T03,2,132.23,2023-03-22
TX00062,C0338,P036,T04,2,-281.52,2025-09-11
TX00063,C0791,P022,T02,1,275.22,2023-08-15
TX00064,C0470,P037,T04,1,54.23,2025-11-13
TX00065,C0735,P005,T01,2,264.85,2025-07-24
TX00066,C0140,P019,T03,1,57.93,2023-12-24
TX00067,C0852,P003,T03,1,277.17,2025-05-22
TX00068,C0722,P048,T01,1,308.12,2023-04-04
TX00069,C0907,P001,T02,1,84.79,2025-01-02
TX00070,C0127,P029,T05,1,298.57,2025-02-02
TX00071,C0603,P022,T05,1,172.1,2025-07-23
TX00072,C0606,P018,T04,1,201.73,2025-05-13
TX00073,C0371,P042,T02,1,284.54,2023-05-01
TX00074,C0466,P011,T01,1,244.49,2025-06-16
TX00075,C0044,P012,T05,1,156.27,2023-03-01
TX00076,C0744,P044,T02,1,205.49,2025-04-22
TX00077,C0562,P029,T01,1,268.89,2023-01-26
TX00078,C0058,P046,T05,2,239.13,2024-04-03
TX00079,C0690,P043,T03,1,281.53,2023-07-15
TX00080,C0475,P028,T02,1,272.21,2025-02-27
TX00081,C0041,P010,T05,2,252.91,2023-01-24
TX00082,C0965,P042,T02,1,198.33,2025-10-12
TX00083,C0946,P011,T01,2,141.84,2024-11-08
TX00084,C0525,P018,T01,1,229.19,2025-02-14
